Column,Response,Count,Total Responses,Percentage
How often are you using AI-based language models?,Weekly,18,52,34.62%
,Monthly,9,52,17.31%
,Daily,9,52,17.31%
,A few times/rarely,4,52,7.69%
"Have you used a large language model (e.g., ChatGPT, Doximity GPT, Google Bard, GPT-4, Bing Chat)?",Yes,43,52,82.69%
,No,9,52,17.31%
What have you used AI-based language models for? (Check all that apply) - Selected Choice,Other,4,52,7.69%
,"Generate differential diagnoses,Ask questions about medical management,Studying: Answer questions about topics,Studying: Summarize content (e.g. lectures, text resources)",2,52,3.85%
,Studying: Answer questions about topics,2,52,3.85%
,"Studying: Summarize content (e.g. lectures, text resources),Studying: Generate practice questions/flashcards,Summarize research papers",1,52,1.92%
,"Write EHR notes (medical record documentation),Generate response to a patient (email/letter/text)",1,52,1.92%
,"Studying: Answer questions about topics,Summarize research papers,Write manuscripts,Write clinical or academic presentations",1,52,1.92%
,Ask questions about medical management,1,52,1.92%
,"Generate differential diagnoses,Ask questions about medical management,Studying: Answer questions about topics,Studying: Summarize content (e.g. lectures, text resources),Studying: Generate practice questions/flashcards",1,52,1.92%
,"Generate differential diagnoses,Ask questions about medical management,Studying: Answer questions about topics,Studying: Summarize content (e.g. lectures, text resources),Summarize research papers",1,52,1.92%
,"Summarize EHR notes,Write manuscripts",1,52,1.92%
,"Write EHR notes (medical record documentation),Studying: Generate practice questions/flashcards,Summarize research papers,Write manuscripts",1,52,1.92%
,"Studying: Answer questions about topics,Summarize research papers",1,52,1.92%
,"Write manuscripts,Create marketing/advertising content (website/print/email/social)",1,52,1.92%
,"Generate differential diagnoses,Write manuscripts",1,52,1.92%
,"Summarize EHR notes,Create patient handouts,Studying: Answer questions about topics,Studying: Summarize content (e.g. lectures, text resources),Studying: Generate practice questions/flashcards,Summarize research papers,Write manuscripts,Write clinical or academic presentations",1,52,1.92%
,"Studying: Answer questions about topics,Studying: Summarize content (e.g. lectures, text resources),Write manuscripts",1,52,1.92%
,"Generate differential diagnoses,Ask questions about medical management,Studying: Answer questions about topics",1,52,1.92%
,"Summarize EHR notes,Write EHR notes (medical record documentation),Generate response to a patient (email/letter/text),Studying: Answer questions about topics,Studying: Summarize content (e.g. lectures, text resources),Studying: Generate practice questions/flashcards,Summarize research papers,Write manuscripts,Write clinical or academic presentations",1,52,1.92%
,Write clinical or academic presentations,1,52,1.92%
,"Ask questions about medical management,Studying: Answer questions about topics,Studying: Summarize content (e.g. lectures, text resources),Studying: Generate practice questions/flashcards,Summarize research papers,Write manuscripts",1,52,1.92%
