StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q0,Q1,Q2,Q3,Q3,Q3_7_TEXT,Q4,Q13,Q14,Q5,Q6,Q6_15_TEXT,Q7,Q8,Q9,Q10,Q11,Q11_5_TEXT,Q12
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Q_RecaptchaScore,"DESCRIPTION:  You are invited to participate in a research study evaluating patients’ perspectives and usage of AI-based language models in their clinical care. You will be asked to answer questions about if you have used AI large language models, which AI large language models you have used, how you have used AI large language models, and demographic information about you. All survey responses are captured anonymously. 

TIME INVOLVEMENT:  Your participation will take approximately 15 minutes.

RISKS AND BENEFITS:  The risks associated with this study are no foreseeable risks associated with completing this survey. We cannot and do not guarantee or promise that you will receive any benefits from completing this survey. However, by completing this survey, you will be contributing to our understanding of how patients are using AI language models in their clinical care. Study data will be stored securely, in compliance with Stanford University standards, minimizing the risk of confidentiality breach. Your individual privacy will be maintained during the research and in all published and written data resulting from the study.  Your decision whether or not to participate in this study will not affect your employment.

PAYMENTS:  You will not receive any payment for completing this survey.



PARTICIPANT'S RIGHTS:  If you have read this form and have decided to participate in this project, please understand your participation is voluntary and you have the right to withdraw your consent or discontinue participation at any time without penalty or loss of benefits to which you are otherwise entitled.  The alternative is not to participate.  You have the right to refuse to answer particular questions.  The results of this research study may be presented at scientific or professional meetings or published in scientific journals.  Your individual privacy will be maintained in all published and written data resulting from the study. All survey responses will be recorded anonymously.

CONTACT INFORMATION: 
Questions:  If you have any questions, concerns or complaints about this research, its procedures, risks and benefits, contact the Protocol Director, Dr. Roxana Daneshjou at 650-723-6316.You should also contact them at any time if you feel you have been hurt by being a part of this study.

Independent Contact:  If you are not satisfied with how this study is being conducted, or if you have any concerns, complaints, or general questions about the research or your rights as a participant, please contact the Stanford Institutional Review Board (IRB) to speak to someone independent of the research team at 650-723-5244 or toll free at 1-866-680-2906.  You can also write to the Stanford IRB, Stanford University, 1705 El Camino Real, Palo Alto, CA 94306.

Please print a copy of this page for your records.

If you agree to participate in this research, please click on the “Agree” button.","Are you a Registered Nurse, Nurse Practitioner, or Physician Assistant?",What state or U.S. territory do you practice in?,"Have you ever used a large language model (e.g., ChatGPT, Doximity GPT, Google Bard, GPT-4, Bing Chat)?",Which of the following large language models have you used? (select all that apply) - Selected Choice,Which of the following large language models have you used? (select all that apply) - Other - Text,For which specialty of medicine are you currently using the AI-large language model?,You indicated that you do not currently use AI-large language models in your clinical care practice. Would you be open to utilizing a large language model in your current practice?,Do you have any additional comments or feedback about AI large language models? Please do not enter any identifiable information or PHI in your answer.,Are you currently using a HIPAA compliant AI-large language model?,What have you used AI-based language models for? (select all that apply) - Selected Choice,What have you used AI-based language models for? (select all that apply) - Other - Text,How often are you using AI-based language models?,How likely are you to use AI-based language models in the future?,How accurate did you find AI-based language models?,How much have you needed to edit outputs when you have used AI-based language models?,Do you have any concerns about large language models? (select all that apply) - Selected Choice,Do you have any concerns about large language models? (select all that apply) - Other - Text,How likely are you to recommend the use of a large language model to your colleagues?
"{""ImportId"":""startDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""endDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID21""}","{""ImportId"":""QID1""}","{""ImportId"":""QID17""}","{""ImportId"":""QID32""}","{""ImportId"":""QID3""}","{""ImportId"":""QID3_7_TEXT""}","{""ImportId"":""QID4""}","{""ImportId"":""QID36""}","{""ImportId"":""QID37_TEXT""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID13_15_TEXT""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""QID31""}","{""ImportId"":""QID33""}","{""ImportId"":""QID33_5_TEXT""}","{""ImportId"":""QID34""}"
2024-10-09 11:20:14,2024-10-09 11:26:40,IP Address,100,386,True,2024-10-09 11:26:41,R_3O2krn2Zlb5ebRP,qr,EN,0.699999988079071,Agree,Nurse Practitioner (NP),California,Yes,Chat GPT,,Dermatology,,"If a patient is using LLM for medical advice, it is possible that harm may be caused vs. benefit. ",No,Ask questions about a diagnosis,,A few times/rarely,Somewhat likely,Somewhat accurate [a few mistakes],Minimal editing [less than 5 changes],"Concerns about privacy,Concerns about accuracy,Concerns about patients or non-physicians using it to get medical information",,Somewhat likely
2024-10-09 11:49:35,2024-10-09 11:50:59,IP Address,100,84,True,2024-10-09 11:51:00,R_6atRfkJI4hH2SAb,anonymous,EN,0.4000000059604645,Agree,Registered Nurse (RN),Illinois,Yes,"Chat GPT,Other",Hospital based AI Chat,None/Do not use AI-large language models for clinical care,Somewhat likely,None,,,,,,,,,,
2024-10-09 13:07:54,2024-10-09 13:09:02,IP Address,100,68,True,2024-10-09 13:09:03,R_7WmOOs7pOfmNLR7,anonymous,EN,1,Agree,Physician Assistant (PA),California,Yes,Chat GPT,,None/Do not use AI-large language models for clinical care,Somewhat likely,no,,,,,,,,,,
2024-10-09 17:40:54,2024-10-09 17:41:44,IP Address,100,50,True,2024-10-09 17:41:45,R_5NypjNKzu6GY6d6,anonymous,EN,0.800000011920929,Agree,Registered Nurse (RN),Illinois,No,,,,,,,,,,,,,,,
2024-10-09 18:11:42,2024-10-09 18:12:05,IP Address,100,23,True,2024-10-09 18:12:06,R_3fjtgHvXa6zmpbj,anonymous,EN,0.4000000059604645,Agree,No/None of the above,,,,,,,,,,,,,,,,,
2024-10-10 19:59:45,2024-10-10 20:02:05,IP Address,100,139,True,2024-10-10 20:02:06,R_6r0tHPSTYnYwQyy,anonymous,EN,1,Agree,Nurse Practitioner (NP),California,Yes,Chat GPT,,Dermatology,,None,No,Patient response [email/text/letter],,A few times/rarely,Somewhat likely,Somewhat accurate [a few mistakes],Minimal editing [less than 5 changes],"Concerns about privacy,Concerns about accuracy",,Neither likely nor unlikely
2024-10-10 21:45:26,2024-10-10 21:46:28,IP Address,100,61,True,2024-10-10 21:46:29,R_60GammNrFjoAlXU,anonymous,EN,0.699999988079071,Agree,Nurse Practitioner (NP),Washington,No,,,,,,,,,,,,,,,
2024-10-11 07:50:38,2024-10-11 07:51:02,IP Address,100,23,True,2024-10-11 07:51:02,R_1DUvcf3bSNxFMws,anonymous,EN,1,Agree,No/None of the above,,,,,,,,,,,,,,,,,
