StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q0,Q1,Q2,Q2_5_TEXT,Q3,Q3_7_TEXT,Q4,Q4_5_TEXT,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q11_7_TEXT,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Q_RecaptchaScore,"DESCRIPTION:  You are invited to participate in a research study evaluating patients’ perspectives and usage of AI-based language models in their clinical care. You will be asked to answer questions about if you have used AI large language models, which AI large language models you have used, how you have used AI large language models, and demographic information about you. All survey responses are captured anonymously. 

TIME INVOLVEMENT:  Your participation will take approximately 15 minutes.

RISKS AND BENEFITS:  The risks associated with this study are no foreseeable risks associated with completing this survey. We cannot and do not guarantee or promise that you will receive any benefits from completing this survey. However, by completing this survey, you will be contributing to our understanding of how patients are using AI language models in their clinical care. Your decision whether or not to participate in this study will not affect your employment or clinical care.

PAYMENTS:  You will not receive any payment for completing this survey.



PARTICIPANT'S RIGHTS:  If you have read this form and have decided to participate in this project, please understand your participation is voluntary and you have the right to withdraw your consent or discontinue participation at any time without penalty or loss of benefits to which you are otherwise entitled.  The alternative is not to participate.  You have the right to refuse to answer particular questions.  The results of this research study may be presented at scientific or professional meetings or published in scientific journals.  Your individual privacy will be maintained in all published and written data resulting from the study. All survey responses will be recorded anonymously.

CONTACT INFORMATION: 
Questions:  If you have any questions, concerns or complaints about this research, its procedures, risks and benefits, contact the Protocol Director, Dr. Roxana Daneshjou at 650-723-6316.You should also contact them at any time if you feel you have been hurt by being a part of this study.

Independent Contact:  If you are not satisfied with how this study is being conducted, or if you have any concerns, complaints, or general questions about the research or your rights as a participant, please contact the Stanford Institutional Review Board (IRB) to speak to someone independent of the research team at 650-723-5244 or toll free at 1-866-680-2906.  You can also write to the Stanford IRB, Stanford University, 1705 El Camino Real, Palo Alto, CA 94306.

Please print a copy of this page for your records.

If you agree to participate in this research, please click on the “Agree” button.",What is your age?,What is your gender identity? - Selected Choice,What is your gender identity? - Other - Text,What is your ethnic background? - Selected Choice,What is your ethnic background? - Other - Text,In what part of the United States do you live? - Selected Choice,In what part of the United States do you live? - Other (please specify state or territory) - Text,What is your current annual household income?,Do you have Internet access at home?,Do you have health insurance?,"Do you have a primary care provider (e.g., family doctor, family nurse practitioner, internal medicine doctor)?","On average, how many times a year do you see a doctor (any doctor)?",Have you ever used a large language model (LLM)? This may include ChatGPT or any other AI models.,Which of the following large language models have you used? (check all that apply) - Selected Choice,Which of the following large language models have you used? (check all that apply) - Other - Text,How many times have you used a large language model in the past year?,Have you ever used a large language model (including Chat GPT or any other AI models) to obtain information on your health?,How often have you used a large language model for questions about your health in the past year?,Did you share with your doctor that you had used a large language model to ask about your health?,How accurate did you feel the information was from the large language model about your health?,Would you use a large language model to ask health questions in the future?,Do you have any concerns around large language models for answering your healthcare questions? (select all that apply),Please share any stories or additional information about your use of large language models for healthcare. Please DO NOT include any of your personal information such as name or contact information.
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID21""}","{""ImportId"":""QID1""}","{""ImportId"":""QID22""}","{""ImportId"":""QID22_5_TEXT""}","{""ImportId"":""QID23""}","{""ImportId"":""QID23_7_TEXT""}","{""ImportId"":""QID24""}","{""ImportId"":""QID24_5_TEXT""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27""}","{""ImportId"":""QID28""}","{""ImportId"":""QID30""}","{""ImportId"":""QID17""}","{""ImportId"":""QID3""}","{""ImportId"":""QID3_7_TEXT""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""QID31_TEXT""}"
2024-09-10 17:03:52,2024-09-10 17:05:04,IP Address,100,71,True,2024-09-10 17:05:04,R_7oopjtxrVQAIEui,anonymous,EN,1,Agree,Over 60,Transgender,,African-American/Black/Afro-Caribbean,,West,,"$120,000+",Yes,Yes,Yes,5 or more times per year,Yes,"Chat GPT,Google Bard,Gemini,Anthropic Claude",,5 or more times,Yes,5 or more times,Yes,Very accurate (No mistakes),Yes,None,
2024-09-10 21:24:01,2024-09-10 21:26:31,IP Address,100,149,True,2024-09-10 21:26:31,R_6MQANS6e5w314m0,anonymous,EN,0.5,Agree,36-45,Female,,Hispanic or Latino,,Southeast,,"$120,000+",Yes,Yes,Yes,3-4 times per year,Yes,Chat GPT,,5 or more times,Yes,5 or more times,No,Very accurate (No mistakes),Yes,Privacy,Often use chat gpt as sir of a meta analysis on any potential issues
2024-09-10 22:06:56,2024-09-10 22:20:35,IP Address,100,818,True,2024-09-10 22:20:36,R_6QGmpCNT31svHr9,anonymous,EN,1,Agree,25-35,Female,,Asian,,West,,Prefer not to say,Yes,Yes,Yes,3-4 times per year,Yes,Chat GPT,,5 or more times,Yes,1-2 times,No,Somewhat accurate (Few mistakes),Yes,"Accuracy,Bias,Privacy",
2024-09-11 15:32:53,2024-09-11 15:33:56,IP Address,100,62,True,2024-09-11 15:33:56,R_31Y1gkTGX5iE8Ct,anonymous,EN,1,Agree,25-35,Male,,Asian,,West,,"$120,000+",Yes,Yes,Yes,1-2 times per year,Yes,"Chat GPT,Google Bard,Gemini,Anthropic Claude",,5 or more times,Yes,5 or more times,Yes,Somewhat accurate (Few mistakes),Yes,"Accuracy,Privacy",
2024-09-11 15:44:24,2024-09-11 15:45:25,IP Address,100,61,True,2024-09-11 15:45:26,R_4cBKIah6yumJE3K,anonymous,EN,0.699999988079071,Agree,25-35,Female,,Asian,,West,,"$90,000-$119,999",Yes,Yes,Yes,1-2 times per year,Yes,"Chat GPT,Google Bard",,5 or more times,Yes,1-2 times,No,Somewhat accurate (Few mistakes),No,Bias,
2024-09-11 15:46:05,2024-09-11 15:50:56,IP Address,100,291,True,2024-09-11 15:50:56,R_1tGqvuHjq2sIqOo,anonymous,EN,0.6000000238418579,Agree,36-45,Female,,White/Caucasian,,Other (please specify state or territory),East Coast,"$120,000+",Yes,Yes,Yes,5 or more times per year,Yes,"Chat GPT,Gemini",,5 or more times,Yes,5 or more times,No,Somewhat accurate (Few mistakes),Yes,"Accuracy,Bias,Privacy","I have several systemic autoimmune issues, endometriosis and related issues, and IBS.  I use ChatGPT (without my account logged in) to see if there could be connections between my symptoms and diseases and have actually found useful ideas which I then researched articles from reliable sources because of the results. "
2024-09-11 16:47:23,2024-09-11 16:49:34,IP Address,100,130,True,2024-09-11 16:49:35,R_4lwlYnX1rJMevER,anonymous,EN,0.800000011920929,Agree,25-35,Female,,White/Caucasian,,Southeast,,"$90,000-$119,999",Yes,Yes,Yes,1-2 times per year,Yes,Chat GPT,,3-4 times,Yes,3-4 times,No,Somewhat accurate (Few mistakes),Yes,Bias,
2024-09-12 00:13:27,2024-09-12 00:16:34,IP Address,100,187,True,2024-09-12 00:16:35,R_7PbqFWvJWfXT50R,anonymous,EN,0.800000011920929,Agree,25-35,Male,,White/Caucasian,,West,,"$120,000+",Yes,Yes,No,0 times per year,Yes,"Chat GPT,Google Bard,Gemini,Anthropic Claude",,5 or more times,Yes,3-4 times,I haven't seen my doctor,Very accurate (No mistakes),Yes,Accuracy,"Asked about rehabilitation of severe muscle strain or tearing in the quads and was given a reasonable regiment that included icing, stretching, low impact activity and such"
