Column,Response,Count,Total Responses,Percentage
How often are you using AI-based language models?,Weekly,28,131,21.37%
,Daily,17,131,12.98%
,Monthly,14,131,10.69%
,A few times/rarely,12,131,9.16%
"Have you used a large language model (e.g., ChatGPT, Doximity GPT, Google Bard, GPT-4, Bing Chat)?",Yes,80,131,61.07%
,No,13,131,9.92%
What have you used AI-based language models for? (Check all that apply) - Selected Choice,Other,7,131,5.34%
,Studying: Answer questions about topics,3,131,2.29%
,"Generate differential diagnoses,Ask questions about medical management,Studying: Answer questions about topics,Studying: Summarize content (e.g. lectures, text resources)",2,131,1.53%
,Ask questions about medical management,2,131,1.53%
,"Studying: Answer questions about topics,Studying: Summarize content (e.g. lectures, text resources)",2,131,1.53%
,"Generate differential diagnoses,Ask questions about medical management,Studying: Answer questions about topics,Studying: Summarize content (e.g. lectures, text resources),Summarize research papers",2,131,1.53%
,"Generate differential diagnoses,Ask questions about medical management,Studying: Answer questions about topics,Studying: Summarize content (e.g. lectures, text resources),Studying: Generate practice questions/flashcards",2,131,1.53%
,"Generate/identify photographs to help with diagnosis,Ask questions about medical management,Studying: Answer questions about topics,Studying: Summarize content (e.g. lectures, text resources),Studying: Generate practice questions/flashcards",1,131,0.76%
,"Write EHR notes (medical record documentation),Studying: Generate practice questions/flashcards,Summarize research papers,Write manuscripts",1,131,0.76%
,"Studying: Answer questions about topics,Studying: Generate practice questions/flashcards,Create marketing/advertising content (website/print/email/social)",1,131,0.76%
,"Studying: Answer questions about topics,Studying: Summarize content (e.g. lectures, text resources),Write manuscripts",1,131,0.76%
,"Summarize EHR notes,Create patient handouts,Studying: Answer questions about topics,Studying: Summarize content (e.g. lectures, text resources),Studying: Generate practice questions/flashcards,Summarize research papers,Write manuscripts,Write clinical or academic presentations",1,131,0.76%
,"Generate differential diagnoses,Write manuscripts",1,131,0.76%
,"Generate response to a patient (email/letter/text),Studying: Answer questions about topics,Studying: Summarize content (e.g. lectures, text resources),Summarize research papers,Write clinical or academic presentations",1,131,0.76%
,"Generate differential diagnoses,Ask questions about medical management,Generate response to a patient (email/letter/text),Studying: Answer questions about topics,Summarize research papers,Other",1,131,0.76%
,"Generate differential diagnoses,Ask questions about medical management,Summarize EHR notes,Write EHR notes (medical record documentation),Generate response to a patient (email/letter/text),Studying: Answer questions about topics,Studying: Summarize content (e.g. lectures, text resources),Studying: Generate practice questions/flashcards,Summarize research papers,Write manuscripts,Write clinical or academic presentations",1,131,0.76%
,"Studying: Answer questions about topics,Studying: Summarize content (e.g. lectures, text resources),Studying: Generate practice questions/flashcards,Summarize research papers,Write manuscripts",1,131,0.76%
,"Write manuscripts,Create marketing/advertising content (website/print/email/social)",1,131,0.76%
,"Studying: Answer questions about topics,Summarize research papers",1,131,0.76%
,"Generate differential diagnoses,Summarize EHR notes,Generate response to a patient (email/letter/text),Studying: Answer questions about topics,Studying: Summarize content (e.g. lectures, text resources),Studying: Generate practice questions/flashcards,Summarize research papers",1,131,0.76%
,"Summarize EHR notes,Write EHR notes (medical record documentation),Studying: Answer questions about topics,Studying: Summarize content (e.g. lectures, text resources),Studying: Generate practice questions/flashcards,Summarize research papers,Write clinical or academic presentations,Create marketing/advertising content (website/print/email/social)",1,131,0.76%
,"Generate differential diagnoses,Ask questions about medical management,Summarize EHR notes,Studying: Summarize content (e.g. lectures, text resources),Studying: Generate practice questions/flashcards,Summarize research papers,Write clinical or academic presentations",1,131,0.76%
,"Summarize EHR notes,Write EHR notes (medical record documentation),Generate response to a patient (email/letter/text),Studying: Answer questions about topics,Studying: Summarize content (e.g. lectures, text resources),Studying: Generate practice questions/flashcards,Summarize research papers,Write manuscripts,Write clinical or academic presentations",1,131,0.76%
,"Summarize EHR notes,Write manuscripts",1,131,0.76%
