Question,Response,Count,Total Responses,Percentage
"Have you used a large language model (e.g., ChatGPT, Doximity GPT, Google Bard, GPT-4, Bing Chat)?",Yes,184,220,83.64%
,No,36,220,16.36%
What have you used AI-based language models for? (Check all that apply) - Selected Choice,Other,29,742,3.91%
,Studying: Answer questions about topics,115,742,15.50%
,Studying: Generate practice questions/flashcards,70,742,9.43%
,Generate differential diagnoses,52,742,7.01%
,Ask questions about medical management,53,742,7.14%
,Studying: Summarize content (e.g. lectures,85,742,11.46%
,text resources),85,742,11.46%
,Summarize research papers,61,742,8.22%
,Create patient handouts,8,742,1.08%
,Create marketing/advertising content (website/print/email/social),27,742,3.64%
,Write manuscripts,44,742,5.93%
,Generate response to a patient (email/letter/text),23,742,3.10%
,Write clinical or academic presentations,41,742,5.53%
,Summarize EHR notes,24,742,3.23%
,Write EHR notes (medical record documentation),17,742,2.29%
,Generate/identify photographs to help with diagnosis,8,742,1.08%
How accurate did you find AI-based language models?,Somewhat accurate (a few mistakes),109,217,50.23%
,Extremely accurate (almost no mistakes),11,217,5.07%
,Neither accurate nor inaccurate (a number of mistakes,42,217,19.35%
,but still useable),42,217,19.35%
,Extremely inaccurate (completely unusable),6,217,2.76%
,Somewhat inaccurate (too many mistakes to use in most cases),7,217,3.23%
"In a single output given to you by an AI-based language model, on average how many edits have you needed to make?",Moderate editing (5-10 changes),76,175,43.43%
,Minimal editing (less than 5 changes),55,175,31.43%
,No editing,15,175,8.57%
,Significant editing (greater than 10 changes),29,175,16.57%
Do you have any concerns about AI-based language models? (Check all that apply) - Selected Choice,Concerns about privacy,43,205,20.98%
,Concerns about accuracy,65,205,31.71%
,Concerns about bias,49,205,23.90%
,Concerns about patients or non-physicians using it to get medical information,40,205,19.51%
,No concerns,6,205,2.93%
,Other,2,205,0.98%
