Demographic Group,Group Value,Question,Response,Count,Total Responses,Percentage
What is your ethnic background? - Selected Choice,Hispanic or Latino,,36-45,3,4,75.00%
What is your ethnic background? - Selected Choice,Hispanic or Latino,,25-35,1,4,25.00%
What is your ethnic background? - Selected Choice,Asian,,25-35,6,8,75.00%
What is your ethnic background? - Selected Choice,Asian,,36-45,1,8,12.50%
What is your ethnic background? - Selected Choice,Asian,,46-60,1,8,12.50%
What is your ethnic background? - Selected Choice,White/Caucasian,,36-45,4,12,33.33%
What is your ethnic background? - Selected Choice,White/Caucasian,,25-35,3,12,25.00%
What is your ethnic background? - Selected Choice,White/Caucasian,,46-60,4,12,33.33%
What is your ethnic background? - Selected Choice,White/Caucasian,,Over 60,1,12,8.33%
What is your ethnic background? - Selected Choice,"Asian,White/Caucasian",,36-45,1,1,100.00%
What is your ethnic background? - Selected Choice,Hispanic or Latino,,Female,3,4,75.00%
What is your ethnic background? - Selected Choice,Hispanic or Latino,,Male,1,4,25.00%
What is your ethnic background? - Selected Choice,Asian,,Female,6,8,75.00%
What is your ethnic background? - Selected Choice,Asian,,Male,2,8,25.00%
What is your ethnic background? - Selected Choice,White/Caucasian,,Female,4,12,33.33%
What is your ethnic background? - Selected Choice,White/Caucasian,,Male,7,12,58.33%
What is your ethnic background? - Selected Choice,White/Caucasian,,Transgender,1,12,8.33%
What is your ethnic background? - Selected Choice,"Asian,White/Caucasian",,Female,1,1,100.00%
What is your ethnic background? - Selected Choice,Hispanic or Latino,,Southeast,1,4,25.00%
What is your ethnic background? - Selected Choice,Hispanic or Latino,,Northeast,3,4,75.00%
What is your ethnic background? - Selected Choice,Asian,,West,5,8,62.50%
What is your ethnic background? - Selected Choice,Asian,,Prefer not to state,2,8,25.00%
What is your ethnic background? - Selected Choice,Asian,,Other (please specify state or territory),1,8,12.50%
What is your ethnic background? - Selected Choice,White/Caucasian,,Other (please specify state or territory),2,12,16.67%
What is your ethnic background? - Selected Choice,White/Caucasian,,Southeast,1,12,8.33%
What is your ethnic background? - Selected Choice,White/Caucasian,,West,6,12,50.00%
What is your ethnic background? - Selected Choice,White/Caucasian,,Northeast,1,12,8.33%
What is your ethnic background? - Selected Choice,White/Caucasian,,Midwest,1,12,8.33%
What is your ethnic background? - Selected Choice,White/Caucasian,,Prefer not to state,1,12,8.33%
What is your ethnic background? - Selected Choice,"Asian,White/Caucasian",,West,1,1,100.00%
What is your ethnic background? - Selected Choice,African-American/Black/Afro-Caribbean,,000+,1,1,100.00%
What is your ethnic background? - Selected Choice,Hispanic or Latino,,$120,2,4,50.00%
What is your ethnic background? - Selected Choice,Hispanic or Latino,,000+,2,4,50.00%
What is your ethnic background? - Selected Choice,Hispanic or Latino,,$30,1,4,25.00%
What is your ethnic background? - Selected Choice,Hispanic or Latino,,000-$59,1,4,25.00%
What is your ethnic background? - Selected Choice,Hispanic or Latino,,999,2,4,50.00%
What is your ethnic background? - Selected Choice,Hispanic or Latino,,$60,1,4,25.00%
What is your ethnic background? - Selected Choice,Hispanic or Latino,,000-$89,1,4,25.00%
What is your ethnic background? - Selected Choice,Asian,,Prefer not to say,1,8,12.50%
What is your ethnic background? - Selected Choice,Asian,,$120,3,8,37.50%
What is your ethnic background? - Selected Choice,Asian,,000+,3,8,37.50%
What is your ethnic background? - Selected Choice,Asian,,$90,1,8,12.50%
What is your ethnic background? - Selected Choice,Asian,,000-$119,1,8,12.50%
What is your ethnic background? - Selected Choice,Asian,,999,4,8,50.00%
What is your ethnic background? - Selected Choice,Asian,,$30,1,8,12.50%
What is your ethnic background? - Selected Choice,Asian,,000-$59,1,8,12.50%
