StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q7_3_TEXT,Q8,Q9,Q9_5_TEXT,Q10,Q11,Q12,Q12_4_TEXT,Q13,Q13_6_TEXT,Q14,Q15,Q15_7_TEXT,Q16,Q16_18_TEXT,Q17,Q18,Q19,Q20
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"DESCRIPTION: You are invited to participate in a research study evaluating medical students' perspectives and usage of AI-based language models in practice. You will be asked to answer questions about if you have used AI large language models in practice, which AI large language models you have used, how you have used AI large language models, and information about your medical school. All survey responses are captured anonymously.

TIME INVOLVEMENT: Your participation will take approximately 15 minutes.

RISKS AND BENEFITS: The risks associated with this study are no foreseeable risks associated with completing this survey. We cannot and do not guarantee or promise that you will receive any benefits from completing this survey. However, by completing this survey, you will be contributing to our understanding of how medical students are using large language models in medical school and clinical settings. Your decision whether or not to participate in this study will not affect your academic performance.

PAYMENTS: You will not receive any payment for completing this survey.

PARTICIPANT'S RIGHTS: If you have read this form and have decided to participate in this project, please understand your participation is voluntary and you have the right to withdraw your consent or discontinue participation at any time without penalty or loss of benefits to which you are otherwise entitled. The alternative is not to participate. You have the right to refuse to answer particular questions. The results of this research study may be presented at scientific or professional meetings or published in scientific journals. Your individual privacy will be maintained in all published and written data resulting from the study. All survey responses will be recorded anonymously.

CONTACT INFORMATION:
Questions? Please contact Dr. Jenna Lester at 415-353-7800. If you have questions or concerns about your rights as a research participant, you can call the UCSF Institutional Review Board at 415-476-1814.

Please print a copy of this page for your records.

If you agree to participate in this research, please click on the ""Agree"" button.",Are you a medical student?,Is your medical school in the U.S. / a U.S. territory?,"50 States, D.C. and Puerto Rico",List of Countries,What type of community is your medical school in?,Are you currently in the pre-clinical or clinical portion of your medical school? - Selected Choice,Are you currently in the pre-clinical or clinical portion of your medical school? - Other - Text,"Have you used a large language model (e.g., ChatGPT, Doximity GPT, Google Bard, GPT-4, Bing Chat)?",Do you have any concerns about AI-based language models? (Check all that apply) - Selected Choice,Do you have any concerns about AI-based language models? (Check all that apply) - Other - Text,How likely are you to use AI-based language models in the future?,Do you have any final comments about AI-based language models?,What is your gender? - Selected Choice,What is your gender? - Prefer to self-describe - Text,How would you describe your race? - Selected Choice,How would you describe your race? - Other - Text,"Are you of Spanish, Hispanic, or Latino origin?",Which of the following large language models have you used? (Check all that apply) - Selected Choice,Which of the following large language models have you used? (Check all that apply) - Other - Text,What have you used AI-based language models for? (Check all that apply) - Selected Choice,What have you used AI-based language models for? (Check all that apply) - Other - Text,How often are you using AI-based language models?,How accurate did you find AI-based language models?,"In a single output given to you by an AI-based language model, on average how many edits have you needed to make?",How do you think AI-based language models are impacting your learning?
"{""ImportId"":""startDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""endDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID15""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID22""}","{""ImportId"":""QID1318540267""}","{""ImportId"":""QID13""}","{""ImportId"":""QID11""}","{""ImportId"":""QID11_3_TEXT""}","{""ImportId"":""QID4""}","{""ImportId"":""QID19""}","{""ImportId"":""QID19_5_TEXT""}","{""ImportId"":""QID16""}","{""ImportId"":""QID20_TEXT""}","{""ImportId"":""QID27""}","{""ImportId"":""QID27_4_TEXT""}","{""ImportId"":""QID28""}","{""ImportId"":""QID28_6_TEXT""}","{""ImportId"":""QID29""}","{""ImportId"":""QID5""}","{""ImportId"":""QID5_7_TEXT""}","{""ImportId"":""QID6""}","{""ImportId"":""QID6_18_TEXT""}","{""ImportId"":""QID7""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID26""}"
2024-03-05 20:06:43,2024-03-06 19:32:36,IP Address,205.154.255.138,100,84352,True,2024-03-06 19:32:37,R_5CFt3G1KizPMZIl,,,,,37.7562,-122.4866,anonymous,EN,Agree,Yes,Yes,California,,Urban,Clinical,,Yes,"Concerns about privacy,Concerns about accuracy,Concerns about bias",,Somewhat likely,,Female,,Other,,No,ChatGPT,,Other,Proofread and improve emails,Monthly,Somewhat accurate (a few mistakes),Moderate editing (5-10 changes),No impact
2024-03-11 13:31:43,2024-03-11 13:34:22,IP Address,98.210.206.243,100,158,True,2024-03-11 13:34:23,R_2rCSfqljSTXn727,,,,,37.78,-122.465,anonymous,EN,Agree,Yes,Yes,California,,Urban,Clinical,,Yes,"Concerns about accuracy,Concerns about bias,Concerns about patients or non-physicians using it to get medical information",,Somewhat likely,,Male,,White or Caucasian,,No,ChatGPT,,Studying: Answer questions about topics,,Monthly,Somewhat accurate (a few mistakes),Moderate editing (5-10 changes),Positively
2024-03-11 16:27:36,2024-03-11 16:29:43,IP Address,104.28.123.87,100,126,True,2024-03-11 16:29:43,R_5pNtFSGff7kwxTb,,,,,33.8681,-118.1831,anonymous,EN,Agree,Yes,Yes,California,,Urban,Clinical,,Yes,"Concerns about privacy,Concerns about accuracy,Concerns about bias",,Extremely likely,,Male,,Asian,,No,ChatGPT,,Studying: Generate practice questions/flashcards,,A few times/rarely,Somewhat accurate (a few mistakes),Minimal editing (less than 5 changes),Positively
2024-03-11 23:04:21,2024-03-11 23:05:58,IP Address,23.127.163.63,100,97,True,2024-03-11 23:05:59,R_6tmylEk9rX4HYV0,,,,,37.7506,-122.4121,anonymous,EN,Agree,Yes,Yes,California,,Urban,Clinical,,No,"Concerns about privacy,Concerns about accuracy,Concerns about bias,Concerns about patients or non-physicians using it to get medical information",,Somewhat unlikely,,Female,,White or Caucasian,,No,,,,,,,,
2024-03-17 19:24:27,2024-03-17 19:26:08,IP Address,172.13.250.34,100,101,True,2024-03-17 19:26:09,R_3CCTDrQOyMEWliG,,,,,36.7986,-119.8107,anonymous,EN,Agree,Yes,Yes,California,,Urban,Clinical,,No,"Concerns about privacy,Concerns about accuracy,Concerns about bias,Concerns about patients or non-physicians using it to get medical information",,Somewhat unlikely,,Male,,Asian,,No,,,,,,,,
2024-03-18 22:03:59,2024-03-18 22:05:42,IP Address,52.119.120.183,100,102,True,2024-03-18 22:05:42,R_6dX1CRIhUpC5Jwn,,,,,37.7506,-122.4121,anonymous,EN,Agree,Yes,Yes,California,,Urban,Pre-clinical,,Yes,"Concerns about privacy,Concerns about accuracy",,Extremely likely,,Male,,Other,Middle Eastern,No,ChatGPT,,"Generate differential diagnoses,Ask questions about medical management,Studying: Answer questions about topics,Studying: Summarize content (e.g. lectures, text resources),Studying: Generate practice questions/flashcards",,Weekly,Somewhat accurate (a few mistakes),Minimal editing (less than 5 changes),Positively
2024-03-19 13:24:51,2024-03-19 14:36:28,IP Address,23.93.97.164,100,4297,True,2024-03-19 14:36:29,R_7gRgUyWkarMV8cx,,,,,37.8922,-122.2729,anonymous,EN,Agree,Yes,Yes,California,,Urban,Pre-clinical,,Yes,"Concerns about accuracy,Concerns about bias,Concerns about patients or non-physicians using it to get medical information",,Extremely likely,,Female,,Asian,,No,ChatGPT,,"Generate differential diagnoses,Ask questions about medical management,Studying: Answer questions about topics,Studying: Summarize content (e.g. lectures, text resources),Summarize research papers",,Weekly,Somewhat accurate (a few mistakes),Minimal editing (less than 5 changes),Positively
2024-03-22 17:11:44,2024-03-22 17:14:01,IP Address,207.53.253.126,100,137,True,2024-03-22 17:14:02,R_3Tl4nbGyGnJb15L,,,,,37.7595,-122.4367,anonymous,EN,Agree,Yes,Yes,California,,Urban,Clinical,,Yes,"Concerns about accuracy,Concerns about bias",,Extremely likely,,Female,,Asian,,No,ChatGPT,,"Ask questions about medical management,Studying: Answer questions about topics,Summarize research papers",,Weekly,Extremely accurate (almost no mistakes),No editing,Positively
